status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1817243721909395,https://www.facebook.com/1405630409737397_1817243721909395,https://fierce.wearemitu.com/calladitas-no-more/becky-g-claps-back-to-this-radio-host-who-tries-to-tell-her-that-women-should-not-express-themselves-sexually-in-their-music/,"Oh, no, no, no, no, no.",Link,Celebrity & Gossip,16/08/2017,0,0,1,0,,,
1405630409737397_1820228184944282,https://www.facebook.com/1405630409737397_1820228184944282,https://fierce.wearemitu.com/calladitas-no-more/carmen-carrera-and-spotify-are-continuing-her-fight-for-lgbtq-acceptance-and-inclusion/,Carmen Carrera has made it her mission to change the perception of trans people in the Latinx community.,Link,Celebrity & Gossip,22/08/2017,0,0,1,0,,,
1405630409737397_1785258955107872,https://www.facebook.com/1405630409737397_1785258955107872,https://fierce.wearemitu.com/calladitas-no-more/dascha-polanco-was-told-to-hide-her-afro-latina-features-when-she-started-acting/,"When someone says something like this, we come back stronger.",Link,Celebrity & Gossip,14/06/2017,0,0,1,0,,,
1405630409737397_1818079638492470,https://www.facebook.com/1405630409737397_1818079638492470,https://fierce.wearemitu.com/calladitas-no-more/heres-how-kali-uchis-became-an-accidental-feminist-icon-in-music/,She never meant to be a feminist icon.,Link,Identities,18/08/2017,0,0,1,0,,,
1405630409737397_1812944442339323,https://www.facebook.com/1405630409737397_1812944442339323,https://fierce.wearemitu.com/calladitas-no-more/its-time-movies-and-tv-show-us-that-female-latina-friendships-are-as-important-as-our-romantic-relationships/,We need more than just Flaca & Maritza.,Link,TV & Movies,7/08/2017,0,0,1,0,,,
1405630409737397_1804349433198824,https://www.facebook.com/1405630409737397_1804349433198824,https://fierce.wearemitu.com/calladitas-no-more/j-lo-is-making-waves-within-the-lgbtq-community-for-using-gender-neutral-pronouns-to-describe-a-loved-one/,One small comment from such a big artist can change the lives of so many people.,Link,Celebrity & Gossip,21/07/2017,0,0,1,0,,,
1405630409737397_1797004617266639,https://www.facebook.com/1405630409737397_1797004617266639,https://fierce.wearemitu.com/calladitas-no-more/la-la-anthony-has-been-an-unapologetic-afro-latina-in-hollywood-for-years-and-she-wants-hollywood-to-change-the-way-it-sees-latinas/,La La Anthony is challenging Hollywood's perception of Latinas.,Link,Identities,7/07/2017,0,0,1,0,,,
1405630409737397_1819563975010703,https://www.facebook.com/1405630409737397_1819563975010703,https://fierce.wearemitu.com/calladitas-no-more/these-photos-put-the-curvy-latina-stereotype-to-rest-once-and-for-all/,We are so much more powerful than any stereotype.,Link,Beauty & Fashion,21/08/2017,0,0,1,0,,,
1405630409737397_1813688405598260,https://www.facebook.com/1405630409737397_1813688405598260,https://fierce.wearemitu.com/calladitas-no-more/watch-a-latinas-powerful-anti-street-harassment-video-come-to-life-in-this-beautiful-choreographed-video/,She slams catcallers in the most beautiful way.,Link,Identities,9/08/2017,0,0,1,0,,,
1405630409737397_1820601731573594,https://www.facebook.com/1405630409737397_1820601731573594,https://fierce.wearemitu.com/decor-get-inspired/binational-artist-panca-creates-colorful-monsters-on-both-sides-of-the-border/,And guess who was commissioned by Coachella to design their merch :grinning:,Link,Identities,23/08/2017,0,0,1,0,,,
1405630409737397_1796738170626617,https://www.facebook.com/1405630409737397_1796738170626617,https://fierce.wearemitu.com/el-amor/quiz-what-type-of-telenovela-kisser-are-you/,My mom should take this quiz.,Link,TV & Movies,6/07/2017,0,0,1,0,,,
1405630409737397_1813185492315218,https://www.facebook.com/1405630409737397_1813185492315218,https://fierce.wearemitu.com/el-amor/stages-of-a-breakup-as-sung-by-la-india/,"Her words to ""Ese Hombre"" get me every single time. She's so savage.",Link,Music,8/08/2017,0,0,1,0,,,
1405630409737397_1809450519355382,https://www.facebook.com/1405630409737397_1809450519355382,https://fierce.wearemitu.com/el-amor/the-bachelorette-got-a-harsh-lesson-in-meeting-a-latina-suegra/,"""Rachel might learn a thing or two from these suegra stories.""",Link,TV & Movies,31/07/2017,0,0,1,0,,,
1405630409737397_1817066515260449,https://www.facebook.com/1405630409737397_1817066515260449,https://fierce.wearemitu.com/el-amor/thoughts-you-have-when-you-introduce-your-non-latino-partner-to-your-family/,*Please remember to kiss all my tías on the cheek :pray:,Link,Sex & Relationships,16/08/2017,0,0,1,0,,,
1405630409737397_1813409432292824,https://www.facebook.com/1405630409737397_1813409432292824,https://fierce.wearemitu.com/entertainment/fans-arent-happy-with-the-bachelorette-choosing-fake-latin-lover-bryan/,People were letting him have it.,Link,TV & Movies,8/08/2017,0,0,1,0,,,
