status_id,permalink,created_time,share_text,image_text_py,image_text_ms,ms_cv_caption,clarifai_tags,clarifai_tags_prob,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1637198789913890,https://www.facebook.com/1405630409737397_1637198789913890,23/08/2016 8:00,It can always use more salsa.,""" Le falta salsa.""
- me with 99% of
the things I eat",""" Le falta salsa.""
- me with 99% of
the things I eat",a bird sits on the tracks,"business,text,desktop,illustration,conceptual,graphic,disjunct,cloud,no person,abstract,symbol,internet,typographic,achievement,designing,science,education,facts,design,horizontal","0.9515209,0.95144784,0.9123768,0.90676886,0.9027499,0.8827647,0.87955654,0.8741362,0.86519706,0.85946345,0.8567494,0.8563856,0.8358457,0.8307564,0.8289367,0.82059157,0.80017614,0.79068637,0.7864051,0.7807448",1,1,0,0,2,0
1405630409737397_1653029068330862,https://www.facebook.com/1405630409737397_1653029068330862,29/09/2016 0:26,True story.,""" Le falta salsa.""
- me with 99% of
the things I eat",""" Le falta salsa.""
- me with 99% of
the things I eat",a bird sits on the tracks,"business,text,desktop,illustration,conceptual,graphic,disjunct,cloud,no person,abstract,symbol,internet,typographic,achievement,designing,science,education,facts,design,horizontal","0.9515209,0.95144784,0.9123768,0.90676886,0.9027499,0.8827647,0.87955654,0.8741362,0.86519706,0.85946345,0.8567494,0.8563856,0.8358457,0.8307564,0.8289367,0.82059157,0.80017614,0.79068637,0.7864051,0.7807448",1,0,1,1,2,37
1405630409737397_1672301336403635,https://www.facebook.com/1405630409737397_1672301336403635,6/11/2016 17:00,True story.,""" Le falta salsa.""
- me with 99% of
the things I eat",""" Le falta salsa.""
- me with 99% of
the things I eat",a bird sits on the tracks,"text,business,desktop,illustration,conceptual,graphic,disjunct,cloud,no person,abstract,symbol,internet,typographic,achievement,designing,science,education,facts,design,horizontal","0.9517842,0.951471,0.9129684,0.90704286,0.9021193,0.88315135,0.8791985,0.87225145,0.8646836,0.85999596,0.85678184,0.85627496,0.8361709,0.8301272,0.8277373,0.8195642,0.80032957,0.7902241,0.78743196,0.77899444",1,0,1,2,2,39
1405630409737397_1610707309229705,https://www.facebook.com/1405630409737397_1610707309229705,24/06/2016 0:00,Sorry mom.,""" ya no habia...""
-me lying when I forget something
from the grocery store.",""" ya no habia...""
-me lying when I forget something
from the grocery store.",a bird sits on the tracks,"business,text,desktop,conceptual,research,symbol,internet,graphic,achievement,illustration,education,disjunct,no person,science,abstract,designing,communication,facts,finance,organization","0.97182584,0.9706093,0.9310462,0.91152024,0.8994194,0.89612865,0.89606977,0.8884058,0.88590693,0.8842157,0.88317585,0.88239866,0.8727931,0.8713337,0.8687684,0.8610835,0.85545015,0.8512511,0.84018755,0.83776295",0,1,0,,,
1405630409737397_1558670164433420,https://www.facebook.com/1405630409737397_1558670164433420,27/02/2016 14:00,Because I'm watching my weight.,"""...and a diet coke please.""","""...and a diet coke please.""",person holding a sandwich in a restaurant,"food,meal,lunch,cooking,restaurant,meat,people,man,chef,bread,dinner,woman,pizza,adult,hungry,cheese,ham,indoors,fast,grow","0.9897882,0.985759,0.9783527,0.9668231,0.9653139,0.95625114,0.95239985,0.945219,0.943468,0.9147025,0.9141779,0.90997183,0.89617956,0.89524496,0.8912542,0.8735066,0.86159575,0.85815215,0.8564563,0.8446285",1,1,0,0,1,0
1405630409737397_1648816422085460,https://www.facebook.com/1405630409737397_1648816422085460,19/09/2016 0:19,Because I'm watching my weight.,"""...and a diet coke please.""","""...and a diet coke please.""",a man and woman preparing food in a restaurant,"food,meal,lunch,restaurant,cooking,people,meat,man,chef,bread,dinner,woman,adult,cheese,pizza,grow,ham,hungry,fast,indoors","0.99077165,0.98516595,0.97700757,0.9642515,0.96286035,0.9594829,0.9585991,0.950276,0.9401338,0.9263211,0.9112475,0.91116154,0.9004468,0.89274335,0.89142704,0.87645435,0.87442684,0.8727323,0.8568347,0.85585976",1,0,1,1,1,204
1405630409737397_1717247695242332,https://www.facebook.com/1405630409737397_1717247695242332,3/02/2017 12:00,"My mom forever and ever, amen.","""°Que sea la ˙ltima vez!""
-ultimatum from latina moms","""°Que sea la ˙ltima vez!""
-ultimatum from latina moms",a bird perched on top of a tree,"illustration,desktop,vector,horizontal,abstract,decoration,art,design,graphic,pattern,no person,disjunct,science,business,text,shape,modern,vertical,education,symbol","0.98642457,0.9698215,0.95630527,0.9451917,0.94486666,0.9444733,0.94437695,0.9387739,0.9361565,0.9283289,0.9225787,0.9124683,0.9077828,0.89473146,0.89392227,0.8634131,0.8624766,0.8547685,0.85116446,0.85096765",1,1,0,0,1,0
1405630409737397_1735616720072096,https://www.facebook.com/1405630409737397_1735616720072096,14/03/2017 6:00,"My mom forever and ever, amen.","""°Que sea la ˙ltima vez!""
-ultimatum from latina moms","""°Que sea la ˙ltima vez!""
-ultimatum from latina moms",a bird perched on top of a tree,"illustration,desktop,vector,art,decoration,horizontal,abstract,design,graphic,pattern,no person,disjunct,science,business,text,shape,modern,vertical,symbol,education","0.9862219,0.96992904,0.95618755,0.9448278,0.9443781,0.9442866,0.9442333,0.9389825,0.9364289,0.92752457,0.9254611,0.9137388,0.9070281,0.89552855,0.8943988,0.862672,0.86030257,0.85392666,0.85210943,0.85058737",1,0,1,1,1,39
1405630409737397_1504966089803828,https://www.facebook.com/1405630409737397_1504966089803828,20/10/2015 18:01,Elotero proverb.,"""øDel que pica
o del que no
pica?""","""øDel que pica
o del que no
pica?""",a piece of cake and a sign,"heat,dinner,lunch,epicure,meal,food,delicious,no person,text,hot,horizontal,cooking,seafood,desktop,refreshment,creativity,market,conceptual,unhealthy,barbecue","0.9043106,0.89169437,0.8813355,0.881192,0.8566206,0.8464471,0.84497184,0.84103066,0.82290876,0.80252004,0.79586214,0.75874805,0.7570385,0.71864796,0.6932587,0.6664068,0.6482804,0.6481457,0.64263546,0.64147496",0,1,0,,,
1405630409737397_1530071343959969,https://www.facebook.com/1405630409737397_1530071343959969,18/12/2015 16:02,Ew no.,"""ødÛnde est· mi abrazo?""
me:","""ødÛnde est· mi abrazo?""
me:",a woman sitting in front of a laptop,"woman,portrait,people,adult,fashion,indoors,young,beautiful,pretty,horizontal,hair,girl,desktop,cute,one,face,person,modern,Afro,style","0.99035025,0.97827893,0.9768952,0.9751017,0.9694414,0.9438033,0.9406053,0.91576374,0.90899324,0.9065996,0.9013934,0.8947561,0.88857067,0.8833848,0.8796314,0.8692651,0.8673953,0.85726124,0.855736,0.8555969",1,1,0,0,1,0
