status_id,permalink,post_type,video_repost_sharetext,created_time,date,sponsored,video_meme,series,category,format,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1521947591439011,https://www.facebook.com/1405630409737397_1521947591439011,video,"""¿Y el novio?""",3/12/2015 11:00,3/12/2015,0,1,Video Memes,Sex & Relationships,Regular,0,1,0,,,
1405630409737397_1673499782950457,https://www.facebook.com/1405630409737397_1673499782950457,video,"""Act cool Tyson"".",9/11/2016 7:00,9/11/2016,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1662370150730087,https://www.facebook.com/1405630409737397_1662370150730087,video,"""All of this for some beans."" :joy:",18/10/2016 20:00,18/10/2016,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1621451644821938,https://www.facebook.com/1405630409737397_1621451644821938,video,"""Andale con ganas""",19/07/2016 7:00,19/07/2016,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1543267305973706,https://www.facebook.com/1405630409737397_1543267305973706,video,"""Are you supposed to sweat?""",20/01/2016 18:00,20/01/2016,0,0,NA,Food & Beverages,Regular,0,1,0,,,
1405630409737397_1748400225460412,https://www.facebook.com/1405630409737397_1748400225460412,video,"""Before I was a child I was considered a troublemaker.""",4/04/2017 16:00,4/04/2017,0,0,NA,Identities,Square,1,1,0,0,1,0
1405630409737397_1764711150495986,https://www.facebook.com/1405630409737397_1764711150495986,video,"""Before I was a child I was considered a troublemaker.""",3/05/2017 20:00,3/05/2017,0,0,NA,Identities,Square,1,0,1,1,1,29
1405630409737397_1787629744870793,https://www.facebook.com/1405630409737397_1787629744870793,video,"""Belt buckle con Alacran Compadre!"" (Check out the new special on Netflix!)",19/06/2017 11:00,19/06/2017,0,0,Bad Hombres Share,Latino Culture,Square,0,1,0,,,
1405630409737397_1617699135197189,https://www.facebook.com/1405630409737397_1617699135197189,video,"""Caballo Dorado"" Pokémon style.",10/07/2016 7:00,10/07/2016,0,1,Video Memes,Latino Culture,Square,0,1,0,,,
1405630409737397_1667051393595296,https://www.facebook.com/1405630409737397_1667051393595296,video,"""Calladita te ves mas bonita.""",27/10/2016 20:00,27/10/2016,0,0,NA,Latino Culture,Square,0,1,0,,,
1405630409737397_1582635908703512,https://www.facebook.com/1405630409737397_1582635908703512,video,"""Chiquilla, te quiero.""",19/04/2016 11:00,19/04/2016,0,1,Video Memes,Music,Square,0,1,0,,,
1405630409737397_1624771064489996,https://www.facebook.com/1405630409737397_1624771064489996,video,"""Conceal, don't feel, don't let them know""",26/07/2016 7:00,26/07/2016,0,1,Video Memes,Latino Culture,Square,0,1,0,,,
1405630409737397_1522347311399039,https://www.facebook.com/1405630409737397_1522347311399039,video,"""Congratulations, you think you're more Mexican than I am."" #WeAreAmerica",3/12/2015 18:00,3/12/2015,0,0,WeAreAmerica,News & Issues,Regular,0,1,0,,,
