date,total_followers,new_followers,engagement,video_views,reach,content_views,video_original_output,video_repost_output,video_meme_output,article_original_output,article_repost_output,meme_original_output,meme_repost_output,article_content_views,all_video_content_views,video_content_views,video_meme_content_views,meme_content_views
1/10/2015,,,,,,,,,,,,,,,,,,
1/11/2015,,,,,,,,,,,,,,,,,,
1/12/2015,,,,,,,,,,,,,,,,,,
1/01/2016,,,,,,,,,,,,,,,,,,
1/02/2016,,,,,,,,,,,,,,,,,,
1/03/2016,,,,,,,,,,,,,,,,,,
1/04/2016,,,,,,,,,,,,,,,,,,
1/05/2016,,,,,,,,,,,,,,,,,,
1/06/2016,,,,,,,,,,,,,,,,,,
1/07/2016,,,,,,,,,,,,,,,,,,
1/08/2016,,,,,,,,,,,,,,,,,,
1/09/2016,,,,,,,,,,,,,,,,,,
1/10/2016,,,,,,,,,,,,,,,,,,
1/11/2016,,,,,,,,,,,,,,,,,,
1/12/2016,,,,,,,,,,,,,,,,,,
1/01/2017,,,,,,,,,,,,,,,,,,
1/02/2017,,,,,,,,,,,,,,,,,,
1/03/2017,,,,,,,,,,,,,,,,,,
1/04/2017,,,,,,,,,,,,,,,,,,
1/05/2017,,,,,,,,,,,,,,,,,,
1/06/2017,,,,,,,,,,,,,,,,,,
1/07/2017,,,,,,,,,,,,,,,,,,
1/08/2017,3700000,89694,,,,,62,0,62,155,0,186,0,1510091,,23672815,26361272,110040009
1/09/2017,,,,,,,,,,,,,,,,,,
1/10/2017,,,,,,,,,,,,,,,,,,
1/11/2017,,,,,,,,,,,,,,,,,,
1/12/2017,,,,,,,,,,,,,,,,,,
